@RELATION myRel

@ATTRIBUTE A1 NUMERIC
@ATTRIBUTE A2 NUMERIC
@ATTRIBUTE A3 NUMERIC
@ATTRIBUTE A4 NUMERIC
@ATTRIBUTE A5 NUMERIC
@ATTRIBUTE A6 NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
3.0,2.0,1.0,1.0,2.0,1.0,1
1.0,3.0,1.0,1.0,3.0,2.0,1
1.0,1.0,1.0,2.0,1.0,2.0,1
1.0,2.0,1.0,1.0,2.0,2.0,1
1.0,1.0,1.0,3.0,2.0,2.0,1
2.0,1.0,1.0,2.0,3.0,2.0,1
2.0,1.0,1.0,2.0,2.0,2.0,1
2.0,2.0,1.0,1.0,1.0,2.0,1
3.0,2.0,1.0,1.0,3.0,2.0,1
3.0,1.0,1.0,2.0,2.0,2.0,1
3.0,2.0,1.0,3.0,1.0,2.0,1
2.0,2.0,1.0,2.0,2.0,2.0,1
2.0,1.0,1.0,3.0,3.0,2.0,1
1.0,1.0,2.0,1.0,2.0,2.0,1
1.0,2.0,2.0,3.0,2.0,2.0,1
1.0,2.0,2.0,1.0,3.0,2.0,1
2.0,1.0,2.0,2.0,3.0,2.0,1
2.0,1.0,2.0,2.0,2.0,2.0,1
2.0,2.0,2.0,3.0,1.0,2.0,1
3.0,1.0,2.0,1.0,2.0,2.0,1
3.0,2.0,2.0,3.0,2.0,2.0,1
3.0,2.0,2.0,2.0,1.0,2.0,1
2.0,2.0,2.0,2.0,3.0,2.0,1
2.0,2.0,2.0,3.0,1.0,1.0,1
1.0,2.0,2.0,1.0,1.0,1.0,1
1.0,1.0,2.0,2.0,2.0,1.0,1
1.0,2.0,2.0,2.0,2.0,1.0,1
2.0,1.0,2.0,2.0,1.0,1.0,1
2.0,1.0,2.0,1.0,3.0,1.0,1
3.0,2.0,2.0,2.0,3.0,1.0,1
3.0,1.0,2.0,2.0,1.0,1.0,1
3.0,1.0,2.0,3.0,3.0,1.0,1
3.0,2.0,2.0,1.0,1.0,1.0,1
2.0,1.0,2.0,1.0,2.0,1.0,1
1.0,3.0,2.0,1.0,3.0,1.0,1
1.0,1.0,2.0,1.0,3.0,2.0,1
3.0,2.0,1.0,3.0,3.0,1.0,1
3.0,3.0,1.0,1.0,3.0,1.0,1
2.0,3.0,1.0,1.0,1.0,2.0,0
1.0,3.0,1.0,2.0,4.0,2.0,0
2.0,1.0,1.0,2.0,4.0,2.0,0
1.0,3.0,1.0,3.0,3.0,2.0,0
2.0,3.0,1.0,3.0,3.0,2.0,0
2.0,3.0,1.0,1.0,4.0,2.0,0
2.0,3.0,1.0,2.0,2.0,2.0,0
3.0,3.0,1.0,2.0,4.0,2.0,0
3.0,3.0,1.0,1.0,4.0,2.0,0
2.0,3.0,1.0,1.0,2.0,1.0,0
1.0,3.0,1.0,2.0,1.0,1.0,0
1.0,2.0,1.0,3.0,4.0,1.0,0
1.0,2.0,1.0,2.0,4.0,1.0,0
2.0,3.0,1.0,2.0,1.0,1.0,0
2.0,2.0,1.0,3.0,4.0,1.0,0
2.0,2.0,1.0,2.0,4.0,1.0,0
3.0,3.0,1.0,1.0,4.0,1.0,0
3.0,3.0,1.0,2.0,3.0,1.0,0
3.0,3.0,1.0,3.0,3.0,1.0,0
3.0,2.0,1.0,3.0,4.0,2.0,0
3.0,3.0,2.0,3.0,1.0,2.0,0
2.0,3.0,2.0,3.0,3.0,2.0,0
1.0,3.0,2.0,3.0,3.0,2.0,0
1.0,1.0,2.0,1.0,4.0,2.0,0
1.0,3.0,2.0,2.0,2.0,2.0,0
2.0,3.0,2.0,2.0,4.0,2.0,0
2.0,3.0,2.0,1.0,4.0,2.0,0
2.0,3.0,2.0,1.0,2.0,2.0,0
3.0,3.0,2.0,2.0,3.0,2.0,0
3.0,2.0,2.0,1.0,4.0,2.0,0
1.0,2.0,2.0,1.0,4.0,1.0,0
2.0,1.0,2.0,2.0,4.0,1.0,0
1.0,3.0,2.0,2.0,4.0,1.0,0
1.0,3.0,2.0,1.0,2.0,1.0,0
2.0,3.0,2.0,2.0,3.0,1.0,0
2.0,3.0,2.0,3.0,1.0,1.0,0
1.0,2.0,2.0,3.0,4.0,1.0,0
3.0,3.0,2.0,3.0,2.0,1.0,0
3.0,3.0,2.0,2.0,4.0,1.0,0
3.0,3.0,2.0,1.0,2.0,1.0,0
2.0,2.0,2.0,3.0,4.0,2.0,0
1.0,1.0,1.0,1.0,1.0,1.0,1
1.0,2.0,1.0,1.0,3.0,1.0,1
1.0,1.0,1.0,3.0,1.0,1.0,1
2.0,2.0,1.0,2.0,3.0,1.0,1
2.0,1.0,1.0,2.0,1.0,1.0,1
2.0,2.0,1.0,3.0,1.0,1.0,1
3.0,1.0,1.0,1.0,2.0,1.0,1
3.0,1.0,1.0,3.0,1.0,1.0,1
2.0,2.0,1.0,1.0,2.0,1.0,1
1.0,2.0,1.0,1.0,3.0,2.0,1
1.0,1.0,1.0,2.0,2.0,2.0,1
1.0,2.0,1.0,1.0,1.0,2.0,1
1.0,2.0,1.0,3.0,2.0,2.0,1
2.0,1.0,1.0,1.0,3.0,2.0,1
2.0,1.0,1.0,3.0,2.0,2.0,1
2.0,2.0,1.0,1.0,2.0,2.0,1
3.0,1.0,1.0,1.0,3.0,2.0,1
3.0,1.0,1.0,2.0,3.0,2.0,1
3.0,2.0,1.0,2.0,1.0,2.0,1
2.0,2.0,1.0,3.0,2.0,2.0,1
1.0,1.0,1.0,3.0,3.0,2.0,1
1.0,1.0,2.0,1.0,1.0,2.0,1
1.0,2.0,2.0,3.0,1.0,2.0,1
1.0,2.0,2.0,2.0,3.0,2.0,1
2.0,1.0,2.0,1.0,3.0,2.0,1
2.0,2.0,2.0,2.0,2.0,2.0,1
2.0,1.0,2.0,3.0,1.0,2.0,1
3.0,1.0,2.0,1.0,3.0,2.0,1
2.0,2.0,2.0,3.0,2.0,2.0,1
3.0,2.0,2.0,1.0,1.0,2.0,1
3.0,2.0,2.0,2.0,3.0,2.0,1
1.0,2.0,2.0,3.0,1.0,1.0,1
1.0,2.0,2.0,1.0,2.0,1.0,1
1.0,1.0,2.0,3.0,2.0,1.0,1
1.0,2.0,2.0,3.0,2.0,1.0,1
2.0,1.0,2.0,1.0,1.0,1.0,1
2.0,1.0,2.0,2.0,3.0,1.0,1
3.0,1.0,2.0,2.0,3.0,1.0,1
3.0,1.0,2.0,3.0,1.0,1.0,1
3.0,2.0,2.0,3.0,3.0,1.0,1
3.0,2.0,2.0,2.0,1.0,1.0,1
3.0,1.0,2.0,1.0,3.0,1.0,1
1.0,3.0,2.0,1.0,3.0,2.0,1
1.0,1.0,1.0,1.0,2.0,1.0,1
3.0,1.0,1.0,3.0,3.0,1.0,1
3.0,1.0,1.0,2.0,1.0,1.0,1
1.0,3.0,1.0,1.0,1.0,2.0,0
1.0,2.0,1.0,2.0,4.0,2.0,0
2.0,1.0,1.0,3.0,4.0,2.0,0
1.0,3.0,1.0,3.0,2.0,2.0,0
2.0,3.0,1.0,3.0,4.0,2.0,0
1.0,3.0,1.0,1.0,4.0,2.0,0
2.0,3.0,1.0,2.0,1.0,2.0,0
3.0,2.0,1.0,2.0,4.0,2.0,0
3.0,3.0,1.0,1.0,2.0,2.0,0
2.0,3.0,1.0,1.0,1.0,1.0,0
1.0,3.0,1.0,3.0,1.0,1.0,0
1.0,1.0,1.0,3.0,4.0,1.0,0
1.0,3.0,1.0,2.0,4.0,1.0,0
2.0,3.0,1.0,3.0,1.0,1.0,0
2.0,1.0,1.0,3.0,4.0,1.0,0
3.0,2.0,1.0,2.0,4.0,1.0,0
2.0,3.0,1.0,1.0,4.0,1.0,0
3.0,3.0,1.0,2.0,2.0,1.0,0
3.0,3.0,1.0,3.0,4.0,1.0,0
3.0,3.0,1.0,3.0,4.0,2.0,0
3.0,3.0,2.0,3.0,2.0,2.0,0
2.0,3.0,2.0,3.0,2.0,2.0,0
1.0,3.0,2.0,3.0,4.0,2.0,0
1.0,2.0,2.0,1.0,4.0,2.0,0
1.0,3.0,2.0,2.0,1.0,2.0,0
2.0,2.0,2.0,2.0,4.0,2.0,0
1.0,3.0,2.0,1.0,4.0,2.0,0
3.0,3.0,2.0,1.0,2.0,2.0,0
3.0,3.0,2.0,2.0,4.0,2.0,0
3.0,3.0,2.0,1.0,4.0,2.0,0
1.0,1.0,2.0,1.0,4.0,1.0,0
2.0,1.0,2.0,1.0,4.0,1.0,0
1.0,3.0,2.0,2.0,3.0,1.0,0
2.0,3.0,2.0,1.0,2.0,1.0,0
2.0,3.0,2.0,2.0,4.0,1.0,0
1.0,3.0,2.0,3.0,1.0,1.0,0
2.0,2.0,2.0,3.0,4.0,1.0,0
3.0,3.0,2.0,3.0,1.0,1.0,0
3.0,2.0,2.0,2.0,4.0,1.0,0
3.0,3.0,2.0,1.0,1.0,1.0,0
2.0,1.0,2.0,3.0,4.0,2.0,0
1.0,1.0,1.0,2.0,1.0,1.0,1
1.0,2.0,1.0,1.0,2.0,1.0,1
1.0,1.0,1.0,3.0,2.0,1.0,1
2.0,1.0,1.0,2.0,3.0,1.0,1
2.0,1.0,1.0,2.0,2.0,1.0,1
2.0,2.0,1.0,2.0,1.0,1.0,1
3.0,1.0,1.0,1.0,3.0,1.0,1
3.0,2.0,1.0,3.0,1.0,1.0,1
2.0,2.0,1.0,1.0,3.0,1.0,1
1.0,1.0,1.0,1.0,3.0,2.0,1
1.0,1.0,1.0,2.0,3.0,2.0,1
1.0,2.0,1.0,2.0,1.0,2.0,1
1.0,2.0,1.0,3.0,3.0,2.0,1
2.0,1.0,1.0,1.0,2.0,2.0,1
2.0,1.0,1.0,3.0,1.0,2.0,1
2.0,2.0,1.0,1.0,3.0,2.0,1
3.0,1.0,1.0,1.0,2.0,2.0,1
3.0,1.0,1.0,3.0,3.0,2.0,1
3.0,2.0,1.0,1.0,1.0,2.0,1
3.0,2.0,1.0,3.0,2.0,2.0,1
1.0,1.0,2.0,3.0,3.0,2.0,1
1.0,1.0,2.0,2.0,1.0,2.0,1
1.0,2.0,2.0,2.0,1.0,2.0,1
1.0,2.0,2.0,3.0,3.0,2.0,1
2.0,1.0,2.0,1.0,2.0,2.0,1
2.0,2.0,2.0,1.0,2.0,2.0,1
3.0,1.0,2.0,3.0,1.0,2.0,1
3.0,1.0,2.0,2.0,3.0,2.0,1
2.0,1.0,2.0,3.0,2.0,2.0,1
3.0,2.0,2.0,1.0,2.0,2.0,1
3.0,2.0,2.0,3.0,3.0,2.0,1
1.0,1.0,2.0,3.0,1.0,1.0,1
1.0,2.0,2.0,1.0,3.0,1.0,1
1.0,1.0,2.0,3.0,3.0,1.0,1
2.0,2.0,2.0,3.0,2.0,1.0,1
2.0,2.0,2.0,1.0,1.0,1.0,1
2.0,1.0,2.0,3.0,3.0,1.0,1
3.0,1.0,2.0,2.0,2.0,1.0,1
2.0,1.0,2.0,3.0,1.0,1.0,1
3.0,2.0,2.0,3.0,2.0,1.0,1
2.0,2.0,2.0,2.0,1.0,1.0,1
3.0,2.0,2.0,1.0,3.0,1.0,1
2.0,3.0,2.0,1.0,3.0,2.0,1
2.0,2.0,1.0,1.0,1.0,1.0,1
2.0,1.0,1.0,3.0,3.0,1.0,1
2.0,1.0,1.0,3.0,1.0,1.0,1
1.0,3.0,1.0,1.0,2.0,2.0,0
1.0,1.0,1.0,2.0,4.0,2.0,0
1.0,1.0,1.0,3.0,4.0,2.0,0
1.0,3.0,1.0,3.0,1.0,2.0,0
2.0,2.0,1.0,3.0,4.0,2.0,0
1.0,2.0,1.0,1.0,4.0,2.0,0
3.0,3.0,1.0,2.0,1.0,2.0,0
3.0,1.0,1.0,2.0,4.0,2.0,0
3.0,3.0,1.0,1.0,1.0,2.0,0
1.0,3.0,1.0,1.0,1.0,1.0,0
1.0,3.0,1.0,3.0,2.0,1.0,0
1.0,1.0,1.0,2.0,4.0,1.0,0
1.0,3.0,1.0,2.0,3.0,1.0,0
2.0,3.0,1.0,3.0,2.0,1.0,0
2.0,1.0,1.0,2.0,4.0,1.0,0
3.0,1.0,1.0,2.0,4.0,1.0,0
1.0,3.0,1.0,1.0,4.0,1.0,0
3.0,3.0,1.0,2.0,1.0,1.0,0
3.0,2.0,1.0,3.0,4.0,1.0,0
3.0,3.0,1.0,3.0,3.0,2.0,0
3.0,3.0,2.0,3.0,3.0,2.0,0
2.0,3.0,2.0,3.0,1.0,2.0,0
1.0,2.0,2.0,3.0,4.0,2.0,0
1.0,2.0,2.0,2.0,4.0,2.0,0
2.0,3.0,2.0,2.0,1.0,2.0,0
2.0,1.0,2.0,2.0,4.0,2.0,0
1.0,3.0,2.0,1.0,2.0,2.0,0
3.0,3.0,2.0,1.0,1.0,2.0,0
3.0,2.0,2.0,2.0,4.0,2.0,0
3.0,3.0,2.0,1.0,4.0,1.0,0
1.0,1.0,2.0,2.0,4.0,1.0,0
2.0,2.0,2.0,1.0,4.0,1.0,0
1.0,3.0,2.0,2.0,2.0,1.0,0
2.0,3.0,2.0,1.0,1.0,1.0,0
2.0,3.0,2.0,3.0,4.0,1.0,0
1.0,3.0,2.0,3.0,2.0,1.0,0
3.0,2.0,2.0,3.0,4.0,1.0,0
3.0,3.0,2.0,2.0,1.0,1.0,0
3.0,1.0,2.0,2.0,4.0,1.0,0
3.0,1.0,2.0,3.0,4.0,1.0,0
1.0,3.0,1.0,2.0,1.0,2.0,0
1.0,1.0,1.0,2.0,2.0,1.0,1
1.0,2.0,1.0,2.0,2.0,1.0,1
1.0,1.0,1.0,3.0,3.0,1.0,1
2.0,1.0,1.0,1.0,3.0,1.0,1
2.0,1.0,1.0,3.0,2.0,1.0,1
3.0,2.0,1.0,2.0,1.0,1.0,1
3.0,1.0,1.0,2.0,3.0,1.0,1
3.0,2.0,1.0,3.0,2.0,1.0,1
2.0,3.0,1.0,1.0,3.0,1.0,1
1.0,1.0,1.0,1.0,2.0,2.0,1
1.0,2.0,1.0,2.0,3.0,2.0,1
1.0,2.0,1.0,3.0,1.0,2.0,1
2.0,2.0,1.0,3.0,3.0,2.0,1
2.0,1.0,1.0,1.0,1.0,2.0,1
2.0,2.0,1.0,3.0,1.0,2.0,1
2.0,3.0,1.0,1.0,3.0,2.0,1
3.0,1.0,1.0,1.0,1.0,2.0,1
3.0,1.0,1.0,3.0,2.0,2.0,1
3.0,2.0,1.0,1.0,2.0,2.0,1
3.0,2.0,1.0,3.0,3.0,2.0,1
1.0,1.0,2.0,2.0,3.0,2.0,1
1.0,1.0,2.0,3.0,1.0,2.0,1
1.0,2.0,2.0,1.0,1.0,2.0,1
2.0,2.0,2.0,3.0,3.0,2.0,1
2.0,1.0,2.0,1.0,1.0,2.0,1
2.0,2.0,2.0,1.0,1.0,2.0,1
3.0,1.0,2.0,2.0,1.0,2.0,1
3.0,1.0,2.0,3.0,3.0,2.0,1
3.0,1.0,2.0,2.0,2.0,2.0,1
3.0,2.0,2.0,1.0,3.0,2.0,1
3.0,2.0,2.0,3.0,1.0,2.0,1
1.0,1.0,2.0,2.0,1.0,1.0,1
1.0,1.0,2.0,1.0,3.0,1.0,1
1.0,2.0,2.0,3.0,3.0,1.0,1
2.0,2.0,2.0,2.0,2.0,1.0,1
2.0,2.0,2.0,1.0,2.0,1.0,1
2.0,2.0,2.0,3.0,3.0,1.0,1
3.0,1.0,2.0,1.0,2.0,1.0,1
2.0,1.0,2.0,3.0,2.0,1.0,1
3.0,2.0,2.0,2.0,2.0,1.0,1
1.0,2.0,2.0,2.0,1.0,1.0,1
3.0,3.0,2.0,1.0,3.0,1.0,1
3.0,3.0,2.0,1.0,3.0,2.0,1
2.0,2.0,1.0,2.0,2.0,1.0,1
3.0,2.0,1.0,2.0,3.0,1.0,1
